log_id,timestamp,shipment_id,event,driver_id,driver_name,location,zone,notes
LOG000001,2026-08-29 20:18,SHP00107,Delivered,D001,Ravi Kumar,Kolkata,Central,Traffic delay
LOG000002,2026-08-31 20:18,SHP00083,Picked Up,D006,Kavita Reddy,Hyderabad,North,
LOG000003,2026-08-29 20:18,SHP00005,Picked Up,D004,Priya Sharma,Bangalore,South,Customer not available
LOG000004,2026-08-31 20:18,SHP00002,In Transit,D001,Ravi Kumar,Hyderabad,North,Customer not available
LOG000005,2026-08-29 20:18,SHP00110,Picked Up,D003,Anand Verma,Bangalore,North,
LOG000006,2026-08-30 20:18,SHP00107,In Transit,D002,Suresh Patel,Kolkata,North,
LOG000007,2026-08-29 20:18,SHP00145,Picked Up,D006,Kavita Reddy,Chennai,West,
LOG000008,2026-08-29 20:18,SHP00146,Delivered,D005,Deepak Singh,Hyderabad,North,
LOG000009,2026-08-31 20:18,SHP00117,In Transit,D006,Kavita Reddy,Hyderabad,South,
LOG000010,2026-08-30 20:18,SHP00079,Delivered,D006,Kavita Reddy,Kolkata,East,Traffic delay
LOG000011,2026-08-29 20:18,SHP00151,Out for Delivery,D004,Priya Sharma,Delhi,West,Customer not available
LOG000012,2026-08-30 20:18,SHP00101,Delivered,D002,Suresh Patel,Delhi,West,
LOG000013,2026-08-29 20:18,SHP00133,Out for Delivery,D003,Anand Verma,Kolkata,Central,Customer not available
LOG000014,2026-08-31 20:18,SHP00057,Delivered,D005,Deepak Singh,Chennai,West,Traffic delay
LOG000015,2026-08-31 20:18,SHP00062,Delivered,D006,Kavita Reddy,Mumbai,West,
LOG000016,2026-08-30 20:18,SHP00174,Returned to Hub,D004,Priya Sharma,Pune,South,Traffic delay
LOG000017,2026-08-30 20:18,SHP00080,Delivered,D003,Anand Verma,Mumbai,North,Traffic delay
LOG000018,2026-08-29 20:18,SHP00096,In Transit,D005,Deepak Singh,Hyderabad,North,Wrong address
LOG000019,2026-08-29 20:18,SHP00165,Returned to Hub,D003,Anand Verma,Mumbai,Central,
LOG000020,2026-08-31 20:18,SHP00173,Out for Delivery,D005,Deepak Singh,Chennai,East,Wrong address
LOG000021,2026-08-31 20:18,SHP00071,Delivery Failed,D005,Deepak Singh,Pune,Central,
LOG000022,2026-08-31 20:18,SHP00190,In Transit,D004,Priya Sharma,Pune,South,Customer not available
LOG000023,2026-08-31 20:18,SHP00004,Delivered,D004,Priya Sharma,Delhi,West,Traffic delay
LOG000024,2026-08-30 20:18,SHP00052,Out for Delivery,D004,Priya Sharma,Mumbai,South,
LOG000025,2026-08-30 20:18,SHP00176,Returned to Hub,D003,Anand Verma,Pune,North,
LOG000026,2026-08-31 20:18,SHP00061,Out for Delivery,D001,Ravi Kumar,Hyderabad,East,
LOG000027,2026-08-29 20:18,SHP00160,Delivery Failed,D003,Anand Verma,Kolkata,Central,
LOG000028,2026-08-29 20:18,SHP00141,Returned to Hub,D001,Ravi Kumar,Kolkata,West,Wrong address
LOG000029,2026-08-30 20:18,SHP00076,Out for Delivery,D001,Ravi Kumar,Delhi,East,
LOG000030,2026-08-30 20:18,SHP00159,Delivery Failed,D001,Ravi Kumar,Pune,South,
LOG000031,2026-08-29 20:18,SHP00155,Picked Up,D002,Suresh Patel,Bangalore,West,Traffic delay
LOG000032,2026-08-30 20:18,SHP00175,Out for Delivery,D005,Deepak Singh,Delhi,East,
LOG000033,2026-08-29 20:18,SHP00159,Delivery Failed,D002,Suresh Patel,Kolkata,West,
LOG000034,2026-08-29 20:18,SHP00080,Delivered,D004,Priya Sharma,Kolkata,West,Traffic delay
LOG000035,2026-08-31 20:18,SHP00119,Delivered,D004,Priya Sharma,Pune,West,Traffic delay
LOG000036,2026-08-30 20:18,SHP00190,In Transit,D004,Priya Sharma,Bangalore,South,Customer not available
LOG000037,2026-08-31 20:18,SHP00017,Out for Delivery,D003,Anand Verma,Kolkata,North,Wrong address
LOG000038,2026-08-31 20:18,SHP00197,Delivery Failed,D005,Deepak Singh,Hyderabad,West,Traffic delay
LOG000039,2026-08-30 20:18,SHP00119,Out for Delivery,D001,Ravi Kumar,Mumbai,East,
LOG000040,2026-08-29 20:18,SHP00105,Delivery Failed,D002,Suresh Patel,Hyderabad,Central,Customer not available
LOG000041,2026-08-30 20:18,SHP00094,Picked Up,D001,Ravi Kumar,Bangalore,West,
LOG000042,2026-08-31 20:18,SHP00199,Returned to Hub,D001,Ravi Kumar,Delhi,West,Customer not available
LOG000043,2026-08-29 20:18,SHP00198,Delivered,D005,Deepak Singh,Pune,North,Wrong address
LOG000044,2026-08-29 20:18,SHP00005,Out for Delivery,D005,Deepak Singh,Delhi,East,Customer not available
LOG000045,2026-08-31 20:18,SHP00198,Picked Up,D004,Priya Sharma,Hyderabad,Central,
LOG000046,2026-08-30 20:18,SHP00150,Delivery Failed,D002,Suresh Patel,Mumbai,South,Wrong address
LOG000047,2026-08-30 20:18,SHP00103,Picked Up,D004,Priya Sharma,Mumbai,North,
LOG000048,2026-08-29 20:18,SHP00036,In Transit,D006,Kavita Reddy,Pune,North,
LOG000049,2026-08-29 20:18,SHP00167,In Transit,D002,Suresh Patel,Bangalore,North,Customer not available
LOG000050,2026-08-31 20:18,SHP00136,Delivered,D003,Anand Verma,Chennai,South,Customer not available
LOG000051,2026-08-30 20:18,SHP00022,Picked Up,D002,Suresh Patel,Kolkata,South,Customer not available
LOG000052,2026-08-31 20:18,SHP00094,Delivered,D001,Ravi Kumar,Bangalore,East,
LOG000053,2026-08-31 20:18,SHP00161,In Transit,D002,Suresh Patel,Pune,North,Wrong address
LOG000054,2026-08-31 20:18,SHP00132,Returned to Hub,D003,Anand Verma,Mumbai,West,Customer not available
LOG000055,2026-08-30 20:18,SHP00075,Out for Delivery,D001,Ravi Kumar,Delhi,West,Wrong address
LOG000056,2026-08-31 20:18,SHP00057,Delivery Failed,D002,Suresh Patel,Delhi,East,Wrong address
LOG000057,2026-08-30 20:18,SHP00063,Out for Delivery,D001,Ravi Kumar,Bangalore,North,Customer not available
LOG000058,2026-08-31 20:18,SHP00156,Picked Up,D006,Kavita Reddy,Pune,Central,Traffic delay
LOG000059,2026-08-29 20:18,SHP00078,Delivered,D001,Ravi Kumar,Delhi,East,
LOG000060,2026-08-29 20:18,SHP00115,In Transit,D005,Deepak Singh,Bangalore,Central,Traffic delay
LOG000061,2026-08-31 20:18,SHP00182,Delivered,D001,Ravi Kumar,Mumbai,East,Customer not available
LOG000062,2026-08-31 20:18,SHP00037,Picked Up,D003,Anand Verma,Mumbai,Central,Customer not available
LOG000063,2026-08-29 20:18,SHP00094,Returned to Hub,D003,Anand Verma,Chennai,Central,Customer not available
LOG000064,2026-08-30 20:18,SHP00174,Returned to Hub,D001,Ravi Kumar,Hyderabad,South,
LOG000065,2026-08-30 20:18,SHP00005,Returned to Hub,D006,Kavita Reddy,Mumbai,West,Traffic delay
LOG000066,2026-08-31 20:18,SHP00105,Delivery Failed,D003,Anand Verma,Pune,West,Wrong address
LOG000067,2026-08-31 20:18,SHP00045,Delivered,D005,Deepak Singh,Chennai,West,
LOG000068,2026-08-29 20:18,SHP00093,Out for Delivery,D004,Priya Sharma,Delhi,North,
LOG000069,2026-08-31 20:18,SHP00132,Delivery Failed,D006,Kavita Reddy,Pune,North,Traffic delay
LOG000070,2026-08-30 20:18,SHP00017,Delivery Failed,D003,Anand Verma,Chennai,East,Wrong address
LOG000071,2026-08-29 20:18,SHP00170,Picked Up,D001,Ravi Kumar,Hyderabad,East,Wrong address
LOG000072,2026-08-31 20:18,SHP00111,Delivery Failed,D005,Deepak Singh,Delhi,North,
LOG000073,2026-08-31 20:18,SHP00132,Out for Delivery,D006,Kavita Reddy,Pune,West,Wrong address
LOG000074,2026-08-31 20:18,SHP00064,In Transit,D004,Priya Sharma,Delhi,East,Customer not available
LOG000075,2026-08-30 20:18,SHP00177,Out for Delivery,D002,Suresh Patel,Bangalore,Central,Customer not available
LOG000076,2026-08-30 20:18,SHP00194,Out for Delivery,D002,Suresh Patel,Kolkata,South,
LOG000077,2026-08-31 20:18,SHP00167,Picked Up,D002,Suresh Patel,Delhi,East,Customer not available
LOG000078,2026-08-31 20:18,SHP00039,Out for Delivery,D005,Deepak Singh,Mumbai,North,Traffic delay
LOG000079,2026-08-30 20:18,SHP00169,Out for Delivery,D002,Suresh Patel,Mumbai,North,
LOG000080,2026-08-31 20:18,SHP00087,Delivered,D006,Kavita Reddy,Pune,Central,Customer not available
LOG000081,2026-08-31 20:18,SHP00184,Delivered,D006,Kavita Reddy,Bangalore,Central,
LOG000082,2026-08-31 20:18,SHP00127,Returned to Hub,D004,Priya Sharma,Bangalore,Central,Traffic delay
LOG000083,2026-08-29 20:18,SHP00116,Returned to Hub,D001,Ravi Kumar,Delhi,South,
LOG000084,2026-08-31 20:18,SHP00162,Picked Up,D004,Priya Sharma,Pune,South,
LOG000085,2026-08-30 20:18,SHP00050,In Transit,D003,Anand Verma,Delhi,East,Wrong address
LOG000086,2026-08-29 20:18,SHP00094,Delivery Failed,D006,Kavita Reddy,Mumbai,North,Wrong address
LOG000087,2026-08-30 20:18,SHP00062,Returned to Hub,D001,Ravi Kumar,Mumbai,East,
LOG000088,2026-08-29 20:18,SHP00166,Returned to Hub,D001,Ravi Kumar,Kolkata,East,
LOG000089,2026-08-31 20:18,SHP00019,Returned to Hub,D005,Deepak Singh,Mumbai,North,Customer not available
LOG000090,2026-08-29 20:18,SHP00148,Returned to Hub,D006,Kavita Reddy,Bangalore,North,
LOG000091,2026-08-31 20:18,SHP00190,Returned to Hub,D002,Suresh Patel,Mumbai,West,
LOG000092,2026-08-31 20:18,SHP00190,Delivery Failed,D003,Anand Verma,Hyderabad,North,
LOG000093,2026-08-31 20:18,SHP00174,In Transit,D002,Suresh Patel,Pune,North,Wrong address
LOG000094,2026-08-31 20:18,SHP00042,Delivered,D006,Kavita Reddy,Chennai,South,Customer not available
LOG000095,2026-08-29 20:18,SHP00042,Out for Delivery,D006,Kavita Reddy,Chennai,North,
LOG000096,2026-08-30 20:18,SHP00041,Delivered,D003,Anand Verma,Hyderabad,North,Traffic delay
LOG000097,2026-08-30 20:18,SHP00080,Out for Delivery,D002,Suresh Patel,Bangalore,Central,Customer not available
LOG000098,2026-08-31 20:18,SHP00127,Delivery Failed,D002,Suresh Patel,Kolkata,South,Customer not available
LOG000099,2026-08-29 20:18,SHP00051,Out for Delivery,D003,Anand Verma,Bangalore,Central,Wrong address
LOG000100,2026-08-31 20:18,SHP00161,Picked Up,D002,Suresh Patel,Delhi,Central,
LOG000101,2026-08-29 20:18,SHP00027,Delivered,D005,Deepak Singh,Delhi,West,Customer not available
LOG000102,2026-08-30 20:18,SHP00112,Delivered,D006,Kavita Reddy,Hyderabad,North,Traffic delay
LOG000103,2026-08-30 20:18,SHP00130,Returned to Hub,D001,Ravi Kumar,Hyderabad,South,
LOG000104,2026-08-29 20:18,SHP00161,Picked Up,D005,Deepak Singh,Chennai,North,
LOG000105,2026-08-31 20:18,SHP00143,Delivery Failed,D003,Anand Verma,Delhi,East,
LOG000106,2026-08-30 20:18,SHP00087,Returned to Hub,D003,Anand Verma,Pune,North,Wrong address
LOG000107,2026-08-31 20:18,SHP00039,In Transit,D001,Ravi Kumar,Delhi,South,Wrong address
LOG000108,2026-08-30 20:18,SHP00005,Returned to Hub,D003,Anand Verma,Pune,East,Wrong address
LOG000109,2026-08-31 20:18,SHP00166,Delivered,D004,Priya Sharma,Pune,West,
LOG000110,2026-08-30 20:18,SHP00131,Out for Delivery,D002,Suresh Patel,Pune,East,Traffic delay
LOG000111,2026-08-31 20:18,SHP00066,Returned to Hub,D004,Priya Sharma,Kolkata,South,Wrong address
LOG000112,2026-08-29 20:18,SHP00166,Picked Up,D001,Ravi Kumar,Delhi,North,
LOG000113,2026-08-30 20:18,SHP00097,Delivered,D006,Kavita Reddy,Mumbai,Central,
LOG000114,2026-08-30 20:18,SHP00176,Picked Up,D001,Ravi Kumar,Delhi,North,Customer not available
LOG000115,2026-08-31 20:18,SHP00029,Delivered,D001,Ravi Kumar,Delhi,East,
LOG000116,2026-08-31 20:18,SHP00021,In Transit,D005,Deepak Singh,Pune,South,
LOG000117,2026-08-30 20:18,SHP00079,Picked Up,D002,Suresh Patel,Bangalore,North,Traffic delay
LOG000118,2026-08-31 20:18,SHP00085,In Transit,D005,Deepak Singh,Kolkata,East,Wrong address
LOG000119,2026-08-29 20:18,SHP00003,Picked Up,D003,Anand Verma,Kolkata,Central,
LOG000120,2026-08-31 20:18,SHP00065,In Transit,D004,Priya Sharma,Pune,North,Wrong address
LOG000121,2026-08-30 20:18,SHP00140,Picked Up,D006,Kavita Reddy,Hyderabad,South,
LOG000122,2026-08-29 20:18,SHP00077,Delivered,D005,Deepak Singh,Mumbai,South,
LOG000123,2026-08-30 20:18,SHP00174,Returned to Hub,D002,Suresh Patel,Chennai,East,
LOG000124,2026-08-31 20:18,SHP00056,Returned to Hub,D006,Kavita Reddy,Pune,North,
LOG000125,2026-08-30 20:18,SHP00023,Picked Up,D006,Kavita Reddy,Delhi,West,Traffic delay
LOG000126,2026-08-31 20:18,SHP00149,Out for Delivery,D001,Ravi Kumar,Chennai,West,Customer not available
LOG000127,2026-08-31 20:18,SHP00001,Returned to Hub,D002,Suresh Patel,Bangalore,South,
LOG000128,2026-08-30 20:18,SHP00028,In Transit,D003,Anand Verma,Bangalore,Central,Traffic delay
LOG000129,2026-08-30 20:18,SHP00167,Delivery Failed,D002,Suresh Patel,Hyderabad,West,Traffic delay
LOG000130,2026-08-30 20:18,SHP00079,In Transit,D005,Deepak Singh,Kolkata,South,
LOG000131,2026-08-29 20:18,SHP00024,Returned to Hub,D003,Anand Verma,Pune,South,
LOG000132,2026-08-31 20:18,SHP00099,In Transit,D005,Deepak Singh,Hyderabad,South,Customer not available
LOG000133,2026-08-30 20:18,SHP00064,Delivered,D005,Deepak Singh,Pune,East,Traffic delay
LOG000134,2026-08-29 20:18,SHP00169,Picked Up,D003,Anand Verma,Mumbai,East,
LOG000135,2026-08-29 20:18,SHP00037,Returned to Hub,D001,Ravi Kumar,Bangalore,East,Wrong address
LOG000136,2026-08-29 20:18,SHP00127,Delivery Failed,D005,Deepak Singh,Mumbai,West,
LOG000137,2026-08-31 20:18,SHP00134,Picked Up,D001,Ravi Kumar,Delhi,West,Wrong address
LOG000138,2026-08-30 20:18,SHP00127,Out for Delivery,D004,Priya Sharma,Mumbai,West,Wrong address
LOG000139,2026-08-31 20:18,SHP00012,Delivered,D005,Deepak Singh,Chennai,Central,
LOG000140,2026-08-30 20:18,SHP00175,Returned to Hub,D002,Suresh Patel,Mumbai,North,Wrong address
LOG000141,2026-08-30 20:18,SHP00035,Out for Delivery,D006,Kavita Reddy,Kolkata,Central,Traffic delay
LOG000142,2026-08-29 20:18,SHP00003,Returned to Hub,D001,Ravi Kumar,Pune,Central,
LOG000143,2026-08-29 20:18,SHP00098,Picked Up,D002,Suresh Patel,Bangalore,South,
LOG000144,2026-08-31 20:18,SHP00014,In Transit,D005,Deepak Singh,Pune,North,Traffic delay
LOG000145,2026-08-30 20:18,SHP00050,Returned to Hub,D001,Ravi Kumar,Bangalore,West,
LOG000146,2026-08-29 20:18,SHP00019,In Transit,D004,Priya Sharma,Pune,South,
LOG000147,2026-08-30 20:18,SHP00021,Returned to Hub,D001,Ravi Kumar,Chennai,East,Traffic delay
LOG000148,2026-08-30 20:18,SHP00124,Picked Up,D005,Deepak Singh,Chennai,West,
LOG000149,2026-08-29 20:18,SHP00113,Picked Up,D005,Deepak Singh,Mumbai,East,Wrong address
LOG000150,2026-08-31 20:18,SHP00142,Out for Delivery,D002,Suresh Patel,Bangalore,West,Traffic delay
LOG000151,2026-08-31 20:18,SHP00009,Returned to Hub,D004,Priya Sharma,Pune,South,Customer not available
LOG000152,2026-08-30 20:18,SHP00026,In Transit,D002,Suresh Patel,Chennai,South,Customer not available
LOG000153,2026-08-31 20:18,SHP00114,Returned to Hub,D006,Kavita Reddy,Mumbai,North,
LOG000154,2026-08-31 20:18,SHP00112,Delivery Failed,D003,Anand Verma,Kolkata,North,
LOG000155,2026-08-29 20:18,SHP00095,Returned to Hub,D006,Kavita Reddy,Hyderabad,Central,Wrong address
LOG000156,2026-08-29 20:18,SHP00142,Returned to Hub,D002,Suresh Patel,Bangalore,North,Wrong address
LOG000157,2026-08-30 20:18,SHP00102,In Transit,D002,Suresh Patel,Mumbai,South,Wrong address
LOG000158,2026-08-30 20:18,SHP00141,In Transit,D004,Priya Sharma,Pune,North,
LOG000159,2026-08-30 20:18,SHP00175,Delivered,D001,Ravi Kumar,Kolkata,East,Customer not available
LOG000160,2026-08-30 20:18,SHP00173,Picked Up,D006,Kavita Reddy,Pune,North,Wrong address
LOG000161,2026-08-29 20:18,SHP00134,In Transit,D002,Suresh Patel,Kolkata,North,Traffic delay
LOG000162,2026-08-30 20:18,SHP00078,Returned to Hub,D003,Anand Verma,Bangalore,North,Wrong address
LOG000163,2026-08-29 20:18,SHP00170,Picked Up,D006,Kavita Reddy,Kolkata,Central,Traffic delay
LOG000164,2026-08-29 20:18,SHP00052,Picked Up,D004,Priya Sharma,Kolkata,Central,Traffic delay
LOG000165,2026-08-31 20:18,SHP00192,Delivered,D001,Ravi Kumar,Pune,West,
LOG000166,2026-08-29 20:18,SHP00003,In Transit,D003,Anand Verma,Bangalore,West,
LOG000167,2026-08-31 20:18,SHP00123,Delivery Failed,D003,Anand Verma,Chennai,East,Customer not available
LOG000168,2026-08-30 20:18,SHP00034,Picked Up,D001,Ravi Kumar,Chennai,North,Wrong address
LOG000169,2026-08-30 20:18,SHP00142,Returned to Hub,D003,Anand Verma,Pune,North,
LOG000170,2026-08-31 20:18,SHP00122,Delivered,D002,Suresh Patel,Mumbai,East,
LOG000171,2026-08-30 20:18,SHP00074,Returned to Hub,D003,Anand Verma,Kolkata,East,
LOG000172,2026-08-31 20:18,SHP00132,In Transit,D002,Suresh Patel,Mumbai,South,Traffic delay
LOG000173,2026-08-30 20:18,SHP00075,Delivered,D006,Kavita Reddy,Chennai,North,
LOG000174,2026-08-30 20:18,SHP00136,Out for Delivery,D003,Anand Verma,Kolkata,South,
LOG000175,2026-08-31 20:18,SHP00114,Out for Delivery,D006,Kavita Reddy,Pune,West,
LOG000176,2026-08-30 20:18,SHP00041,Returned to Hub,D004,Priya Sharma,Bangalore,West,Wrong address
