shipment_id,order_id,customer_name,origin,destination,carrier,driver_id,driver_name,status,zone,route_code,scheduled_delivery,actual_delivery,delay_minutes,sla_deadline,sla_status,weight_kg,remarks
SHP00001,ORD925488,Customer 1,Kolkata,Pune,Ecom Express,D001,Ravi Kumar,Returned,Central,RT-South-20,2026-07-24 16:52,,228,2026-07-24 16:52,Breached,7.92,
SHP00002,ORD222194,Customer 2,Chennai,Delhi,XpressBees,D005,Deepak Singh,Delayed,South,RT-South-18,2026-07-21 16:52,,218,2026-07-21 16:52,Breached,36.41,
SHP00003,ORD796874,Customer 3,Delhi,Chennai,Ecom Express,D002,Suresh Patel,In Transit,North,RT-North-12,2026-07-28 16:52,,208,2026-07-28 16:52,Breached,21.27,
SHP00004,ORD520030,Customer 4,Delhi,Chennai,XpressBees,D002,Suresh Patel,Delivered,Central,RT-East-10,2026-07-27 16:52,2026-07-29 16:52,0,2026-07-27 16:52,Met,9.22,
SHP00005,ORD833493,Customer 5,Chennai,Pune,XpressBees,D006,Kavita Reddy,Out for Delivery,Central,RT-North-08,2026-07-24 16:52,,167,2026-07-24 16:52,Breached,6.59,
SHP00006,ORD816497,Customer 6,Bangalore,Hyderabad,Delhivery,D002,Suresh Patel,Failed Attempt,Central,RT-South-16,2026-07-21 16:52,,180,2026-07-21 16:52,Breached,26.14,Attempted delivery - customer absent
SHP00007,ORD589997,Customer 7,Chennai,Mumbai,FedEx,D004,Priya Sharma,Delivered,South,RT-South-11,2026-07-28 16:52,2026-07-29 16:52,0,2026-07-28 16:52,Met,26.85,
SHP00008,ORD591005,Customer 8,Chennai,Hyderabad,Delhivery,D001,Ravi Kumar,In Transit,North,RT-East-03,2026-07-20 16:52,,173,2026-07-20 16:52,Breached,26.67,
SHP00009,ORD894024,Customer 9,Kolkata,Bangalore,BlueDart,D003,Anand Verma,Delayed,North,RT-North-02,2026-07-22 16:52,,194,2026-07-22 16:52,Breached,41.98,
SHP00010,ORD447150,Customer 10,Kolkata,Delhi,Delhivery,D001,Ravi Kumar,Returned,East,RT-North-08,2026-07-20 16:52,,34,2026-07-20 16:52,At Risk,15.17,
SHP00011,ORD577971,Customer 11,Chennai,Chennai,XpressBees,D006,Kavita Reddy,Delayed,South,RT-East-01,2026-07-22 16:52,,240,2026-07-22 16:52,Breached,11.38,
SHP00012,ORD717575,Customer 12,Mumbai,Pune,FedEx,D006,Kavita Reddy,Returned,South,RT-South-15,2026-07-27 16:52,,58,2026-07-27 16:52,At Risk,19.22,
SHP00013,ORD988515,Customer 13,Hyderabad,Bangalore,FedEx,D002,Suresh Patel,Out for Delivery,South,RT-East-16,2026-07-26 16:52,,181,2026-07-26 16:52,Breached,19.02,
SHP00014,ORD633442,Customer 14,Delhi,Mumbai,BlueDart,D003,Anand Verma,Failed Attempt,South,RT-East-17,2026-07-27 16:52,,168,2026-07-27 16:52,Breached,25.27,Attempted delivery - customer absent
SHP00015,ORD154735,Customer 15,Delhi,Hyderabad,Ecom Express,D004,Priya Sharma,Failed Attempt,East,RT-South-04,2026-07-20 16:52,,279,2026-07-20 16:52,Breached,49.28,Attempted delivery - customer absent
SHP00016,ORD278002,Customer 16,Mumbai,Bangalore,DHL,D005,Deepak Singh,Out for Delivery,South,RT-East-16,2026-07-20 16:52,,103,2026-07-20 16:52,Breached,10.3,
SHP00017,ORD833065,Customer 17,Hyderabad,Delhi,Ecom Express,D003,Anand Verma,Delayed,West,RT-North-14,2026-07-20 16:52,,238,2026-07-20 16:52,Breached,19.21,
SHP00018,ORD186967,Customer 18,Hyderabad,Mumbai,BlueDart,D002,Suresh Patel,Failed Attempt,North,RT-South-19,2026-07-19 16:52,,255,2026-07-19 16:52,Breached,44.52,Attempted delivery - customer absent
SHP00019,ORD281277,Customer 19,Kolkata,Bangalore,FedEx,D005,Deepak Singh,Failed Attempt,Central,RT-East-12,2026-07-19 16:52,,75,2026-07-19 16:52,Breached,31.03,Attempted delivery - customer absent
SHP00020,ORD373327,Customer 20,Delhi,Mumbai,Ecom Express,D004,Priya Sharma,Delayed,South,RT-North-05,2026-07-22 16:52,,121,2026-07-22 16:52,Breached,21.02,
SHP00021,ORD645379,Customer 21,Chennai,Mumbai,Delhivery,D004,Priya Sharma,Delivered,Central,RT-North-16,2026-07-27 16:52,2026-07-29 16:52,0,2026-07-27 16:52,Met,34.48,
SHP00022,ORD236343,Customer 22,Chennai,Bangalore,Delhivery,D003,Anand Verma,Out for Delivery,North,RT-South-09,2026-07-26 16:52,,145,2026-07-26 16:52,Breached,15.81,
SHP00023,ORD658284,Customer 23,Hyderabad,Bangalore,FedEx,D006,Kavita Reddy,Delayed,West,RT-South-08,2026-07-22 16:52,,79,2026-07-22 16:52,Breached,47.46,
SHP00024,ORD958725,Customer 24,Bangalore,Hyderabad,Ecom Express,D006,Kavita Reddy,In Transit,Central,RT-North-18,2026-07-28 16:52,,185,2026-07-28 16:52,Breached,44.46,
SHP00025,ORD763382,Customer 25,Mumbai,Pune,Delhivery,D003,Anand Verma,Returned,East,RT-North-16,2026-07-21 16:52,,231,2026-07-21 16:52,Breached,32.78,
SHP00026,ORD528760,Customer 26,Hyderabad,Hyderabad,Ecom Express,D002,Suresh Patel,Out for Delivery,East,RT-East-15,2026-07-20 16:52,,184,2026-07-20 16:52,Breached,34.92,
SHP00027,ORD692629,Customer 27,Pune,Bangalore,XpressBees,D004,Priya Sharma,Out for Delivery,West,RT-East-16,2026-07-27 16:52,,57,2026-07-27 16:52,At Risk,25.54,
SHP00028,ORD636964,Customer 28,Pune,Chennai,DHL,D004,Priya Sharma,Out for Delivery,East,RT-East-03,2026-07-22 16:52,,172,2026-07-22 16:52,Breached,20.24,
SHP00029,ORD789532,Customer 29,Pune,Bangalore,Ecom Express,D003,Anand Verma,Delayed,South,RT-North-07,2026-07-20 16:52,,95,2026-07-20 16:52,Breached,31.8,
SHP00030,ORD234179,Customer 30,Bangalore,Kolkata,Delhivery,D004,Priya Sharma,Delivered,North,RT-South-14,2026-07-26 16:52,2026-07-28 16:52,0,2026-07-26 16:52,Met,9.59,
SHP00031,ORD871753,Customer 31,Bangalore,Kolkata,Ecom Express,D002,Suresh Patel,Returned,South,RT-East-08,2026-07-19 16:52,,62,2026-07-19 16:52,Breached,46.97,
SHP00032,ORD860056,Customer 32,Kolkata,Pune,XpressBees,D006,Kavita Reddy,Delayed,South,RT-North-10,2026-07-23 16:52,,184,2026-07-23 16:52,Breached,22.11,
SHP00033,ORD776665,Customer 33,Delhi,Mumbai,XpressBees,D003,Anand Verma,Out for Delivery,South,RT-East-16,2026-07-26 16:52,,151,2026-07-26 16:52,Breached,29.78,
SHP00034,ORD658565,Customer 34,Hyderabad,Kolkata,FedEx,D003,Anand Verma,Out for Delivery,West,RT-East-19,2026-07-27 16:52,,32,2026-07-27 16:52,At Risk,27.49,
SHP00035,ORD666395,Customer 35,Kolkata,Hyderabad,FedEx,D003,Anand Verma,Delayed,West,RT-South-13,2026-07-21 16:52,,174,2026-07-21 16:52,Breached,49.05,
SHP00036,ORD148050,Customer 36,Mumbai,Mumbai,Delhivery,D005,Deepak Singh,In Transit,East,RT-North-20,2026-07-25 16:52,,159,2026-07-25 16:52,Breached,15.99,
SHP00037,ORD569631,Customer 37,Kolkata,Hyderabad,Ecom Express,D005,Deepak Singh,Failed Attempt,North,RT-South-08,2026-07-22 16:52,,187,2026-07-22 16:52,Breached,29.08,Attempted delivery - customer absent
SHP00038,ORD387309,Customer 38,Kolkata,Delhi,XpressBees,D002,Suresh Patel,Delivered,North,RT-South-08,2026-07-21 16:52,2026-07-29 16:52,0,2026-07-21 16:52,Met,3.17,
SHP00039,ORD477821,Customer 39,Pune,Mumbai,DHL,D006,Kavita Reddy,Delivered,West,RT-North-12,2026-07-27 16:52,2026-07-29 16:52,0,2026-07-27 16:52,Met,41.67,
SHP00040,ORD454152,Customer 40,Pune,Chennai,DHL,D002,Suresh Patel,Failed Attempt,Central,RT-South-03,2026-07-21 16:52,,54,2026-07-21 16:52,At Risk,6.93,Attempted delivery - customer absent
SHP00041,ORD614604,Customer 41,Chennai,Hyderabad,XpressBees,D005,Deepak Singh,Delivered,South,RT-North-09,2026-07-22 16:52,2026-07-29 16:52,0,2026-07-22 16:52,Met,31.05,
SHP00042,ORD554018,Customer 42,Bangalore,Kolkata,Delhivery,D005,Deepak Singh,Delayed,West,RT-South-02,2026-07-27 16:52,,219,2026-07-27 16:52,Breached,41.31,
SHP00043,ORD169323,Customer 43,Hyderabad,Hyderabad,Delhivery,D003,Anand Verma,Failed Attempt,South,RT-East-20,2026-07-26 16:52,,59,2026-07-26 16:52,At Risk,6.8,Attempted delivery - customer absent
SHP00044,ORD908007,Customer 44,Kolkata,Kolkata,FedEx,D005,Deepak Singh,Failed Attempt,East,RT-East-14,2026-07-24 16:52,,105,2026-07-24 16:52,Breached,45.57,Attempted delivery - customer absent
SHP00045,ORD978313,Customer 45,Mumbai,Mumbai,Delhivery,D006,Kavita Reddy,Delayed,West,RT-South-20,2026-07-19 16:52,,98,2026-07-19 16:52,Breached,32.59,
SHP00046,ORD836252,Customer 46,Pune,Hyderabad,FedEx,D001,Ravi Kumar,Failed Attempt,Central,RT-South-09,2026-07-20 16:52,,266,2026-07-20 16:52,Breached,46.6,Attempted delivery - customer absent
